id,name,latitude,longitude,population
610176,SHOOP,41.690919,-87.658669,414
400180,KIPP - ONE,41.893805,-87.726615,1028
610009,GALILEO,41.871255,-87.653366,531
610145,REINBERG,41.943019,-87.768983,774
400119,LEGAL PREP HS,41.881733,-87.733778,217
400176,EXCEL SOUTHWEST HS,41.765929,-87.69073,151
609828,BURR,41.912358,-87.668661,447
609807,HAMPTON,41.753457,-87.708731,436
609805,JOPLIN,41.749339,-87.669366,271
609910,FALCONER,41.935785,-87.749331,842
610325,AVONDALE-LOGANDALE,41.93397,-87.708041,490
610284,NEW FIELD,42.007703,-87.673168,568
610182,SOLOMON,41.993942,-87.724043,339
609974,HAWTHORNE,41.942275,-87.657709,619
610586,SADLOWSKI,41.704859,-87.527985,655
610263,DULLES,41.7799,-87.617214,662
610111,PALMER,41.973289,-87.739213,751
610521,DAVIS M,41.771221,-87.66653,150
610024,CARDENAS,41.848488,-87.716017,763
400023,CICS - AVALON/SOUTH SHORE,41.743179,-87.587928,438
609904,ELLINGTON,41.88553,-87.766589,491
610093,NEIL,41.738407,-87.620933,249
609818,BURBANK,41.917598,-87.7827,699
609920,KANOON,41.850771,-87.705112,367
609938,GARY,41.837065,-87.718697,713
609693,WESTINGHOUSE HS,41.889977,-87.707332,1230
610115,PARK MANOR,41.766477,-87.611546,251
610135,PORTAGE PARK,41.956988,-87.761007,885
609709,GAGE PARK HS,41.791013,-87.688954,347
610123,PENN,41.858372,-87.722386,220
610558,GOODE HS,41.75375,-87.707345,953
609837,CARNEGIE,41.783368,-87.590795,403
400173,PATHWAYS - BRIGHTON PARK HS,41.808226,-87.702645,405
609929,FULTON,41.79758,-87.668436,327
610174,SHIELDS,41.815909,-87.689647,481
610057,FAIRFIELD,41.780904,-87.692115,470
609744,NORTHSIDE LEARNING HS,41.982973,-87.722386,275
400051,NOBLE - NOBLE HS,41.900191,-87.662628,670
610088,MOZART,41.92091,-87.721888,482
610101,OGDEN ES,41.899976,-87.629297,895
610043,LOVETT,41.912718,-87.783919,336
610105,ORIOLE PARK,41.978501,-87.812054,586
610221,WEBSTER,41.869916,-87.727524,206
610097,NIXON,41.919581,-87.73142,644
610192,STOWE,41.911938,-87.713318,507
609782,AUDUBON,41.945062,-87.681041,603
400085,ACERO - GARCIA HS,41.809171,-87.730467,627
610245,DOUGLASS HS,41.890369,-87.767668,35
609698,BOGAN HS,41.749376,-87.721097,570
400145,YCCS - YOUTH CONNECTION,41.832072,-87.626781,99
610180,SMYTH,41.865351,-87.653445,369
610364,DUBOIS,41.653733,-87.61432,187
609952,GREENE,41.829669,-87.671492,310
609927,FOSTER PARK,41.738425,-87.668099,341
610593,OMBUDSMAN - ROSELAND HS,41.695105,-87.642816,132
610063,MCCORMICK,41.842267,-87.7063,429
610095,NEWBERRY,41.913947,-87.64599,330
610281,POWELL,41.760332,-87.556789,535
609804,MOSAIC,42.003412,-87.697463,715
609751,KING HS,41.813675,-87.603874,702
609791,BASS,41.774246,-87.653532,289
400150,YCCS - CHATHAM,41.730131,-87.60698,82
610078,INTER-AMERICAN,41.949003,-87.651573,640
610179,SMYSER,41.958868,-87.781975,753
610572,SAFE ACHIEVE ES,41.753117,-87.550513,2
610587,DYETT ARTS HS,41.801204,-87.612239,492
400096,ROWE,41.907797,-87.664072,706
609933,GALE,42.021091,-87.671939,303
610530,SOUTH SHORE ES,41.767755,-87.590396,238
610238,BOND,41.765361,-87.653018,259
610127,PETERSON,41.981557,-87.712583,898
610084,KELLER,41.69717,-87.697278,220
610268,ASHE,41.740184,-87.601174,357
609951,ARIEL,41.811173,-87.597503,353
610316,EARHART,41.726107,-87.582182,201
610345,WOODSON,41.814499,-87.608419,290
610129,PICKARD,41.8529,-87.683291,294
400143,YCCS - WEST TOWN,41.890803,-87.702053,75
610163,STOCK,42.016892,-87.814195,212
610185,STEVENSON,41.747107,-87.731666,1157
609994,HIBBARD,41.970335,-87.710362,913
400129,YCCS - PROGRESSIVE LEADERSHIP,41.773962,-87.61574,98
609854,CHOPIN,41.896713,-87.688937,301
609797,BEIDLER,41.885321,-87.705855,257
610006,HURLEY,41.766785,-87.719541,703
400098,NOBLE - MUCHIN HS,41.88274,-87.626338,961
610390,RICKOVER MILITARY HS,41.957599,-87.769938,506
610298,LENART,41.747186,-87.62804,295
610246,BEASLEY,41.798465,-87.625692,1013
610170,COLUMBIA EXPLORERS,41.811069,-87.704199,722
400083,ACERO - PAZ,41.850035,-87.692551,128
609958,GUNSAULUS,41.813007,-87.699364,668
